 Thread = 1, FIX# = 1, NUMPAD = 0, Peak Performance =   153.17 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 1, Peak Performance =   154.12 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 2, Peak Performance =   138.84 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 3, Peak Performance =   153.63 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 4, Peak Performance =   138.01 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 5, Peak Performance =   138.13 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 6, Peak Performance =   143.13 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 7, Peak Performance =   153.42 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 8, Peak Performance =   140.11 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 9, Peak Performance =   139.43 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 10, Peak Performance =   127.92 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 11, Peak Performance =   138.89 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 12, Peak Performance =   125.46 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 13, Peak Performance =   143.21 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 14, Peak Performance =   141.12 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 15, Peak Performance =   154.04 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   156.87 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   156.99 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   157.06 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   157.01 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   157.01 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   156.86 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   156.41 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   156.95 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   157.01 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   156.57 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   156.87 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   156.49 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   156.05 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   157.02 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   156.80 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   157.00 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 0, Peak Performance =   144.85 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 1, Peak Performance =   132.03 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 2, Peak Performance =   234.81 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 3, Peak Performance =   295.12 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 4, Peak Performance =   267.11 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 5, Peak Performance =   266.00 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 6, Peak Performance =   274.44 MegaPlus/Sec
