 Thread = 1, FIX# = 1, NUMPAD = 0, Peak Performance =   127.44 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 1, Peak Performance =   122.18 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 2, Peak Performance =   105.68 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 3, Peak Performance =   138.34 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 4, Peak Performance =   128.71 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 5, Peak Performance =   106.84 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 6, Peak Performance =   114.68 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 7, Peak Performance =   122.62 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 8, Peak Performance =   128.70 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 9, Peak Performance =   127.96 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 10, Peak Performance =   103.33 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 11, Peak Performance =   114.42 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 12, Peak Performance =   110.64 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 13, Peak Performance =   110.41 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 14, Peak Performance =   123.30 MegaPlus/Sec
 Thread = 1, FIX# = 1, NUMPAD = 15, Peak Performance =   114.76 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   125.56 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   143.54 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   138.76 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   143.71 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   149.59 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   134.27 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   143.71 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   129.80 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   139.84 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   128.40 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   117.08 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   123.90 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   126.54 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   135.60 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   143.67 MegaPlus/Sec
 Thread = 1, FIX# = 2, NUMPAD = 0, Peak Performance =   143.76 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 0, Peak Performance =   141.77 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 1, Peak Performance =    97.90 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 2, Peak Performance =   144.57 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 3, Peak Performance =   224.73 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 4, Peak Performance =   211.26 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 5, Peak Performance =   211.87 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 6, Peak Performance =   217.14 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 7, Peak Performance =   244.29 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 8, Peak Performance =   220.75 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 9, Peak Performance =   197.39 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 10, Peak Performance =   221.95 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 11, Peak Performance =   237.11 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 12, Peak Performance =   218.20 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 13, Peak Performance =   244.73 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 14, Peak Performance =   219.25 MegaPlus/Sec
 Thread = 2, FIX# = 1, NUMPAD = 15, Peak Performance =   229.23 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   264.59 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   264.64 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   238.58 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   263.66 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   232.81 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   264.04 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   266.72 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   233.70 MegaPlus/Sec
 Thread = 2, FIX# = 2, NUMPAD = 0, Peak Performance =   255.07 MegaPlus/Sec
