NowYear:2017, NowMonth: 0, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: 1, Temp:   20.69 °F, precip:    8.75 inches
NowYear:2017, NowMonth: 1, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: 0, Temp:   25.87 °F, precip:   11.44 inches
NowYear:2017, NowMonth: 2, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -1, Temp:   34.83 °F, precip:   12.99 inches
NowYear:2017, NowMonth: 3, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -2, Temp:   45.19 °F, precip:   12.99 inches
NowYear:2017, NowMonth: 4, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -3, Temp:   54.15 °F, precip:   11.44 inches
NowYear:2017, NowMonth: 5, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -4, Temp:   59.33 °F, precip:    8.75 inches
NowYear:2017, NowMonth: 6, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -5, Temp:   59.33 °F, precip:    5.65 inches
NowYear:2017, NowMonth: 7, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -6, Temp:   54.15 °F, precip:    2.96 inches
NowYear:2017, NowMonth: 8, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -7, Temp:   45.19 °F, precip:    1.40 inches
NowYear:2017, NowMonth: 9, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -8, Temp:   34.83 °F, precip:    1.40 inches
NowYear:2017, NowMonth: 10, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -9, Temp:   25.87 °F, precip:    2.96 inches
NowYear:2017, NowMonth: 11, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -10, Temp:   20.69 °F, precip:    5.65 inches
NowYear:2018, NowMonth: 0, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -11, Temp:   20.69 °F, precip:    8.75 inches
NowYear:2018, NowMonth: 1, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -12, Temp:   25.87 °F, precip:   11.44 inches
NowYear:2018, NowMonth: 2, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -13, Temp:   34.83 °F, precip:   12.99 inches
NowYear:2018, NowMonth: 3, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -14, Temp:   45.19 °F, precip:   12.99 inches
NowYear:2018, NowMonth: 4, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -15, Temp:   54.15 °F, precip:   11.44 inches
NowYear:2018, NowMonth: 5, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -16, Temp:   59.33 °F, precip:    8.75 inches
NowYear:2018, NowMonth: 6, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -17, Temp:   59.33 °F, precip:    5.65 inches
NowYear:2018, NowMonth: 7, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -18, Temp:   54.15 °F, precip:    2.96 inches
NowYear:2018, NowMonth: 8, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -19, Temp:   45.19 °F, precip:    1.40 inches
NowYear:2018, NowMonth: 9, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -20, Temp:   34.83 °F, precip:    1.40 inches
NowYear:2018, NowMonth: 10, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -21, Temp:   25.87 °F, precip:    2.96 inches
NowYear:2018, NowMonth: 11, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -22, Temp:   20.69 °F, precip:    5.65 inches
NowYear:2019, NowMonth: 0, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -23, Temp:   20.69 °F, precip:    8.75 inches
NowYear:2019, NowMonth: 1, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -24, Temp:   25.87 °F, precip:   11.44 inches
NowYear:2019, NowMonth: 2, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -25, Temp:   34.83 °F, precip:   12.99 inches
NowYear:2019, NowMonth: 3, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -26, Temp:   45.19 °F, precip:   12.99 inches
NowYear:2019, NowMonth: 4, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -27, Temp:   54.15 °F, precip:   11.44 inches
NowYear:2019, NowMonth: 5, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -28, Temp:   59.33 °F, precip:    8.75 inches
NowYear:2019, NowMonth: 6, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -29, Temp:   59.33 °F, precip:    5.65 inches
NowYear:2019, NowMonth: 7, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -30, Temp:   54.15 °F, precip:    2.96 inches
NowYear:2019, NowMonth: 8, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -31, Temp:   45.19 °F, precip:    1.40 inches
NowYear:2019, NowMonth: 9, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -32, Temp:   34.83 °F, precip:    1.40 inches
NowYear:2019, NowMonth: 10, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -33, Temp:   25.87 °F, precip:    2.96 inches
NowYear:2019, NowMonth: 11, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -34, Temp:   20.69 °F, precip:    5.65 inches
NowYear:2020, NowMonth: 0, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -35, Temp:   20.69 °F, precip:    8.75 inches
NowYear:2020, NowMonth: 1, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -36, Temp:   25.87 °F, precip:   11.44 inches
NowYear:2020, NowMonth: 2, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -37, Temp:   34.83 °F, precip:   12.99 inches
NowYear:2020, NowMonth: 3, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -38, Temp:   45.19 °F, precip:   12.99 inches
NowYear:2020, NowMonth: 4, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -39, Temp:   54.15 °F, precip:   11.44 inches
NowYear:2020, NowMonth: 5, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -40, Temp:   59.33 °F, precip:    8.75 inches
NowYear:2020, NowMonth: 6, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -41, Temp:   59.33 °F, precip:    5.65 inches
NowYear:2020, NowMonth: 7, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -42, Temp:   54.15 °F, precip:    2.96 inches
NowYear:2020, NowMonth: 8, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -43, Temp:   45.19 °F, precip:    1.40 inches
NowYear:2020, NowMonth: 9, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -44, Temp:   34.83 °F, precip:    1.40 inches
NowYear:2020, NowMonth: 10, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -45, Temp:   25.87 °F, precip:    2.96 inches
NowYear:2020, NowMonth: 11, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -46, Temp:   20.69 °F, precip:    5.65 inches
NowYear:2021, NowMonth: 0, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -47, Temp:   20.69 °F, precip:    8.75 inches
NowYear:2021, NowMonth: 1, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -48, Temp:   25.87 °F, precip:   11.44 inches
NowYear:2021, NowMonth: 2, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -49, Temp:   34.83 °F, precip:   12.99 inches
NowYear:2021, NowMonth: 3, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -50, Temp:   45.19 °F, precip:   12.99 inches
NowYear:2021, NowMonth: 4, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -51, Temp:   54.15 °F, precip:   11.44 inches
NowYear:2021, NowMonth: 5, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -52, Temp:   59.33 °F, precip:    8.75 inches
NowYear:2021, NowMonth: 6, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -53, Temp:   59.33 °F, precip:    5.65 inches
NowYear:2021, NowMonth: 7, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -54, Temp:   54.15 °F, precip:    2.96 inches
NowYear:2021, NowMonth: 8, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -55, Temp:   45.19 °F, precip:    1.40 inches
NowYear:2021, NowMonth: 9, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -56, Temp:   34.83 °F, precip:    1.40 inches
NowYear:2021, NowMonth: 10, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -57, Temp:   25.87 °F, precip:    2.96 inches
NowYear:2021, NowMonth: 11, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -58, Temp:   20.69 °F, precip:    5.65 inches
NowYear:2022, NowMonth: 0, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -59, Temp:   20.69 °F, precip:    8.75 inches
NowYear:2022, NowMonth: 1, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -60, Temp:   25.87 °F, precip:   11.44 inches
NowYear:2022, NowMonth: 2, NowHeight:-3932554172144008822784.00 inches, NowNumDeer: -61, Temp:   34.83 °F, precip:   12.99 inches
