Using 1 threads
finish readstarttry0try1   Peak Performance =  1703.65 MegaMults/Sec
Average Performance =  1649.63 MegaMults/Sec
Sum[1] = 53185.242188
Sum[2] = 67181.468750
Sum[3] = 52136.082031
Sum[4] = 45437.664062
Sum[5] = 53552.437500
Sum[6] = 69232.234375
Sum[7] = 60377.765625
Sum[8] = 52751.753906
Sum[9] = 64942.710938
Sum[10] = 57681.292969
Sum[11] = 55733.253906
Sum[12] = 64919.882812
Sum[13] = 55214.195312
Sum[14] = 66260.007812
Sum[15] = 53664.296875
Sum[16] = 61101.140625
Sum[17] = 60267.843750
Sum[18] = 56868.687500
Sum[19] = 58167.183594
Sum[20] = 48982.304688
Sum[21] = 50313.085938
Sum[22] = 51926.484375
Sum[23] = 55921.031250
Sum[24] = 40470.484375
Sum[25] = 45473.703125
Sum[26] = 41750.492188
Sum[27] = 48448.328125
Sum[28] = 34756.855469
Sum[29] = 56272.421875
Sum[30] = 40708.664062
Sum[31] = 28855.000000
Sum[32] = 30106.906250
Sum[33] = 29928.064453
Sum[34] = 39107.308594
Sum[35] = 29363.660156
Sum[36] = 20468.703125
Sum[37] = 39045.289062
Sum[38] = 21845.371094
Sum[39] = 21911.560547
Sum[40] = 23962.302734
Sum[41] = 22824.941406
Sum[42] = 24288.230469
Sum[43] = 24260.250000
Sum[44] = 19128.312500
Sum[45] = 11907.781250
Sum[46] = 18085.828125
Sum[47] = 13963.667969
Sum[48] = 23184.656250
Sum[49] = 15028.031250
Sum[50] = 22688.162109
Sum[51] = 881.529541
Sum[52] = 6230.126953
Sum[53] = -1860.718262
Sum[54] = 2759.431152
Sum[55] = -1197.411255
Sum[56] = -11174.786133
Sum[57] = -11476.416992
Sum[58] = -512.822021
Sum[59] = -19492.781250
Sum[60] = -6232.024902
Sum[61] = -12365.042969
Sum[62] = -12251.150391
Sum[63] = -19695.109375
Sum[64] = -13457.452148
Sum[65] = -23919.199219
Sum[66] = -24459.673828
Sum[67] = -27000.882812
Sum[68] = -27253.039062
Sum[69] = -19609.078125
Sum[70] = -15920.185547
Sum[71] = -28998.023438
Sum[72] = -25466.796875
Sum[73] = -19769.511719
Sum[74] = -34929.921875
Sum[75] = -31570.425781
Sum[76] = -41675.250000
Sum[77] = -43564.050781
Sum[78] = -38439.031250
Sum[79] = -34192.019531
Sum[80] = -47888.546875
Sum[81] = -49453.773438
Sum[82] = -34976.601562
Sum[83] = -54747.242188
Sum[84] = -55944.855469
Sum[85] = -51536.359375
Sum[86] = -43619.332031
Sum[87] = -40174.292969
Sum[88] = -52694.265625
Sum[89] = -46674.113281
Sum[90] = -56267.027344
Sum[91] = -47637.421875
Sum[92] = -52278.246094
Sum[93] = -55383.183594
Sum[94] = -52627.851562
Sum[95] = -48374.789062
Sum[96] = -60636.105469
Sum[97] = -50312.468750
Sum[98] = -48890.644531
Sum[99] = -51302.558594
Sum[100] = -50811.957031
Sum[101] = -55483.519531
Sum[102] = -64674.335938
Sum[103] = -53008.640625
Sum[104] = -57851.406250
Sum[105] = -54828.800781
Sum[106] = -55817.328125
Sum[107] = -65209.718750
Sum[108] = -64544.597656
Sum[109] = -65560.015625
Sum[110] = -68939.875000
Sum[111] = -59783.589844
Sum[112] = -53604.179688
Sum[113] = -55936.058594
Sum[114] = -64161.808594
Sum[115] = -51323.000000
Sum[116] = -65024.937500
Sum[117] = -58155.617188
Sum[118] = -52955.992188
Sum[119] = -49942.269531
Sum[120] = -60890.070312
Sum[121] = -60276.558594
Sum[122] = -52030.570312
Sum[123] = -48117.539062
Sum[124] = -61966.644531
Sum[125] = -54262.042969
Sum[126] = -63243.394531
Sum[127] = -55297.867188
Sum[128] = -42025.785156
Sum[129] = -47397.304688
Sum[130] = -40285.031250
Sum[131] = -53048.750000
Sum[132] = -54167.562500
Sum[133] = -46036.296875
Sum[134] = -44353.562500
Sum[135] = -45391.867188
Sum[136] = -48665.859375
Sum[137] = -39379.628906
Sum[138] = -44628.328125
Sum[139] = -34752.605469
Sum[140] = -37701.796875
Sum[141] = -27355.421875
Sum[142] = -31369.175781
Sum[143] = -39549.363281
Sum[144] = -26604.105469
Sum[145] = -31523.478516
Sum[146] = -21174.343750
Sum[147] = -23891.804688
Sum[148] = -17153.935547
Sum[149] = -22705.628906
Sum[150] = -19139.101562
Sum[151] = -25712.742188
Sum[152] = -20691.494141
Sum[153] = -21063.195312
Sum[154] = -16031.636719
Sum[155] = -14620.247070
Sum[156] = -4356.951660
Sum[157] = -6778.949219
Sum[158] = -10001.376953
Sum[159] = -10610.934570
Sum[160] = -10267.443359
Sum[161] = -4675.095215
Sum[162] = -2385.873291
Sum[163] = 3168.557373
Sum[164] = 2149.112061
Sum[165] = 5635.665039
Sum[166] = 10979.310547
Sum[167] = 14767.675781
Sum[168] = 7226.919922
Sum[169] = 14871.146484
Sum[170] = 8183.073242
Sum[171] = 19609.269531
Sum[172] = 18819.945312
Sum[173] = 19787.345703
Sum[174] = 18930.814453
Sum[175] = 21981.986328
Sum[176] = 23160.458984
Sum[177] = 34171.398438
Sum[178] = 23794.093750
Sum[179] = 19260.685547
Sum[180] = 29954.841797
Sum[181] = 32724.373047
Sum[182] = 26273.906250
Sum[183] = 31810.539062
Sum[184] = 42675.355469
Sum[185] = 29117.953125
Sum[186] = 25288.353516
Sum[187] = 37004.398438
Sum[188] = 44856.386719
Sum[189] = 40176.980469
Sum[190] = 43398.375000
Sum[191] = 47673.273438
Sum[192] = 54446.839844
Sum[193] = 46277.824219
Sum[194] = 49043.410156
Sum[195] = 56294.242188
Sum[196] = 58932.246094
Sum[197] = 54608.210938
Sum[198] = 52655.246094
Sum[199] = 60336.164062
Sum[200] = 47617.894531
Sum[201] = 53655.296875
Sum[202] = 54660.078125
Sum[203] = 53922.597656
Sum[204] = 60972.574219
Sum[205] = 61652.867188
Sum[206] = 58885.734375
Sum[207] = 55907.703125
Sum[208] = 57471.640625
Sum[209] = 51890.527344
Sum[210] = 64270.484375
Sum[211] = 72292.835938
Sum[212] = 60496.191406
Sum[213] = 61602.312500
